Group_ID,Bump_Center_X,Bump_Center_Y,Bump_Center_Z,Top_Z,Bottom_Z,Height
0,-0.058242,-0.453848,-0.000285,0.005166,-0.005121,0.010286
1,-0.028896,-0.454118,-0.000085,0.005159,-0.00503,0.010189
2,-0.043557,-0.453934,-0.000274,0.005072,-0.005017,0.010089
3,-0.014255,-0.454033,-0.000156,0.005098,-0.004925,0.010024
4,0.029704,-0.453961,-0.000286,0.005106,-0.004921,0.010028
5,0.014881,-0.453955,-0.00015,0.005048,-0.004906,0.009955
6,0.058911,-0.453883,-0.000117,0.00513,-0.004933,0.010063
7,0.000564,-0.453975,-0.0002,0.005094,-0.004949,0.010043
8,0.073763,-0.453841,-0.000189,0.005103,-0.004906,0.010009
9,0.044331,-0.453914,-0.000121,0.005125,-0.004825,0.00995
10,-0.189914,-0.410006,-0.000214,0.00511,-0.005182,0.010292
11,-0.219073,-0.395266,-0.000232,0.005634,-0.005142,0.010776
12,-0.204626,-0.395318,-0.000138,0.005132,-0.005185,0.010318
13,-0.248495,-0.380689,-0.000309,0.005087,-0.005236,0.010322
14,-0.233956,-0.380845,-0.000323,0.005135,-0.005135,0.01027
15,-0.219295,-0.38065,-0.000101,0.00548,-0.005118,0.010598
16,-0.204562,-0.380919,-0.000234,0.005255,-0.00523,0.010485
17,-0.189883,-0.380664,-0.000281,0.005346,-0.005146,0.010492
18,-0.263086,-0.365988,-0.00036,0.005236,-0.00522,0.010456
19,-0.233886,-0.366233,-0.000227,0.005179,-0.005204,0.010383
20,-0.248543,-0.366052,-0.00014,0.005573,-0.005089,0.010661
21,-0.219432,-0.366142,-0.0002,0.005142,-0.005091,0.010233
22,-0.20462,-0.366086,-0.00026,0.005209,-0.00515,0.010359
23,-0.189871,-0.395408,-0.000342,0.005032,-0.00501,0.010042
24,-0.189932,-0.366108,-0.0001,0.00531,-0.004906,0.010216
25,-0.116707,-0.439229,-0.000216,0.005297,-0.005274,0.01057
26,-0.146196,-0.410128,-0.000216,0.005172,-0.005224,0.010395
27,-0.175206,-0.409992,-0.000354,0.00516,-0.005222,0.010382
28,-0.160834,-0.410089,-0.000149,0.005335,-0.005152,0.010487
29,-0.175223,-0.395388,-0.000172,0.005352,-0.005176,0.010528
30,-0.145968,-0.395368,-0.000198,0.005186,-0.005188,0.010374
31,-0.160674,-0.395357,-0.000229,0.005053,-0.005112,0.010166
32,-0.175159,-0.38073,-0.000159,0.005114,-0.005154,0.010269
33,-0.146023,-0.3807,-0.000245,0.005069,-0.005181,0.01025
34,-0.160631,-0.380775,-0.00006,0.005253,-0.005111,0.010363
35,-0.116835,-0.380847,-0.00021,0.005048,-0.00513,0.010178
36,-0.101906,-0.439291,-0.000286,0.00515,-0.005043,0.010193
37,-0.146034,-0.424689,-0.000202,0.005315,-0.004963,0.010278
38,-0.160472,-0.424562,-0.000111,0.00533,-0.005018,0.010349
39,-0.131427,-0.424646,-0.000183,0.005119,-0.004974,0.010093
40,-0.116549,-0.424604,-0.000151,0.005087,-0.005091,0.010178
41,-0.101971,-0.424628,-0.000264,0.005002,-0.005025,0.010028
42,-0.131362,-0.409917,-0.000252,0.005026,-0.005005,0.01003
43,-0.116536,-0.410006,-0.000175,0.005162,-0.005063,0.010225
44,-0.102279,-0.410054,-0.000237,0.005095,-0.005016,0.010111
45,-0.11668,-0.395398,-0.000263,0.005292,-0.005001,0.010293
46,-0.13148,-0.395436,-0.000303,0.005041,-0.004827,0.009868
47,-0.102032,-0.395319,-0.000147,0.005125,-0.004963,0.010088
48,-0.102182,-0.380735,-0.000309,0.005006,-0.005018,0.010024
49,-0.131336,-0.38067,-0.000157,0.005297,-0.005008,0.010305
50,-0.116789,-0.366064,-0.000214,0.005176,-0.005053,0.010229
51,-0.175311,-0.366089,-0.000275,0.00506,-0.005141,0.010201
52,-0.16055,-0.36608,-0.000205,0.005152,-0.005025,0.010176
53,-0.146005,-0.366133,-0.000198,0.005171,-0.005139,0.01031
54,-0.131474,-0.366062,-0.000275,0.004997,-0.005034,0.010031
55,-0.101992,-0.366015,-0.00025,0.004979,-0.004885,0.009864
56,-0.087484,-0.380779,-0.00023,0.005061,-0.005157,0.010218
57,-0.087356,-0.439274,-0.000248,0.005162,-0.00515,0.010311
58,-0.058207,-0.439358,-0.000292,0.00505,-0.005072,0.010122
59,-0.043656,-0.439279,-0.00019,0.005131,-0.004999,0.01013
60,-0.028977,-0.43929,-0.000218,0.005092,-0.00496,0.010052
61,-0.072786,-0.43918,-0.000217,0.005046,-0.005019,0.010064
62,-0.014358,-0.439379,-0.000062,0.005053,-0.00481,0.009862
63,-0.05825,-0.424669,-0.000205,0.005265,-0.005062,0.010328
64,-0.028965,-0.424685,-0.000204,0.005253,-0.005156,0.010409
65,-0.087334,-0.424519,-0.000313,0.005043,-0.004957,0.01
66,-0.072916,-0.424726,-0.000088,0.005072,-0.004865,0.009938
67,-0.043528,-0.424622,-0.000171,0.005083,-0.005008,0.010091
68,-0.014491,-0.424687,-0.000272,0.005055,-0.005038,0.010093
69,-0.058227,-0.409969,-0.000223,0.005105,-0.005001,0.010106
70,-0.0873,-0.410034,-0.00026,0.005058,-0.005017,0.010075
71,-0.072929,-0.409942,-0.00013,0.005093,-0.005022,0.010115
72,-0.02884,-0.409947,-0.000193,0.005126,-0.004962,0.010088
73,-0.043632,-0.41004,-0.000154,0.005083,-0.004903,0.009985
74,-0.014232,-0.409987,-0.000156,0.005072,-0.004903,0.009976
75,-0.058168,-0.395495,-0.000172,0.005169,-0.004998,0.010167
76,-0.028916,-0.395431,-0.000232,0.005067,-0.005001,0.010068
77,-0.087358,-0.395443,-0.000203,0.005158,-0.005087,0.010245
78,-0.072777,-0.395413,-0.000332,0.004978,-0.004929,0.009907
79,-0.043639,-0.395327,-0.000221,0.004958,-0.005008,0.009966
80,-0.014303,-0.395477,-0.000155,0.004963,-0.004901,0.009864
81,-0.058247,-0.380692,-0.000186,0.005198,-0.005027,0.010224
82,-0.072749,-0.380777,-0.000097,0.005047,-0.004951,0.009998
83,-0.043653,-0.38078,-0.000117,0.005045,-0.004705,0.00975
84,-0.028943,-0.38058,-0.000103,0.005267,-0.00496,0.010227
85,-0.014491,-0.380767,-0.000062,0.005068,-0.004768,0.009836
86,-0.0875,-0.366038,-0.000116,0.005157,-0.005013,0.010171
87,-0.058238,-0.36611,-0.000199,0.005038,-0.005047,0.010085
88,-0.028917,-0.36607,-0.000302,0.00499,-0.004992,0.009982
89,-0.043693,-0.366107,-0.00014,0.005035,-0.004764,0.0098
90,-0.072686,-0.366258,-0.00014,0.005012,-0.00488,0.009892
91,-0.014464,-0.366089,-0.000118,0.005066,-0.004819,0.009885
92,0.000325,-0.439259,-0.000153,0.00506,-0.00511,0.010171
93,0.058937,-0.439281,-0.000192,0.005053,-0.004985,0.010039
94,0.029753,-0.439406,-0.00011,0.005156,-0.004999,0.010154
95,0.044226,-0.439265,-0.000075,0.004999,-0.00495,0.009949
96,0.073502,-0.439322,-0.000098,0.005009,-0.004829,0.009838
97,0.014975,-0.439349,-0.000106,0.005004,-0.004791,0.009795
98,0.0296,-0.424727,-0.000181,0.005183,-0.005041,0.010224
99,0.00039,-0.424675,-0.000211,0.005062,-0.005075,0.010137
100,0.014888,-0.424685,-0.000107,0.005034,-0.004872,0.009906
101,0.058907,-0.424685,-0.000002,0.00508,-0.004975,0.010054
102,0.04431,-0.424619,-0.00014,0.004982,-0.004814,0.009796
103,0.073614,-0.424689,-0.000087,0.004966,-0.00486,0.009826
104,0.000331,-0.410063,-0.000231,0.005114,-0.005037,0.010151
105,0.044175,-0.410009,-0.000082,0.004998,-0.004855,0.009854
106,0.015144,-0.410089,-0.00006,0.004975,-0.004865,0.00984
107,0.029754,-0.409987,-0.000088,0.0051,-0.004832,0.009932
108,0.058935,-0.410006,-0.000131,0.005182,-0.004874,0.010056
109,0.073544,-0.41008,-0.000161,0.005045,-0.004945,0.00999
110,0.000311,-0.395423,-0.000162,0.00508,-0.005008,0.010088
111,0.014916,-0.395346,-0.000195,0.00502,-0.004835,0.009856
112,0.029761,-0.395459,-0.000025,0.005226,-0.004933,0.010159
113,0.044308,-0.395327,-0.000253,0.005004,-0.004997,0.010001
114,0.059137,-0.395334,-0.000113,0.005213,-0.004912,0.010125
115,0.073564,-0.395282,-0.000135,0.005071,-0.00489,0.009961
116,0.029629,-0.380767,-0.000089,0.005139,-0.004943,0.010082
117,0.000491,-0.380725,-0.000226,0.005094,-0.004941,0.010034
118,0.014941,-0.380785,-0.00005,0.005063,-0.004842,0.009905
119,0.044325,-0.380643,-0.000159,0.00504,-0.004879,0.009919
120,0.058948,-0.380754,-0.000121,0.00506,-0.004909,0.009969
121,0.073495,-0.380628,-0.000021,0.005008,-0.004757,0.009764
122,0.014926,-0.366068,-0.000266,0.004948,-0.004912,0.00986
123,0.000381,-0.366199,-0.000041,0.0051,-0.004966,0.010066
124,0.058835,-0.366095,-0.000111,0.005071,-0.005007,0.010077
125,0.029793,-0.366101,-0.000091,0.005029,-0.004964,0.009993
126,0.044118,-0.366116,-0.000114,0.00504,-0.004844,0.009884
127,0.073639,-0.366133,-0.00018,0.004959,-0.004818,0.009777
128,0.088269,-0.439373,-0.000145,0.005121,-0.005034,0.010155
129,0.102808,-0.43917,-0.000088,0.005091,-0.00494,0.010031
130,0.117637,-0.43928,-0.000102,0.005032,-0.004837,0.009869
131,0.132256,-0.439287,-0.000138,0.005099,-0.004857,0.009956
132,0.088304,-0.424636,-0.000135,0.005143,-0.004992,0.010135
133,0.117599,-0.42456,-0.000092,0.005133,-0.005002,0.010135
134,0.146707,-0.424625,-0.000017,0.005109,-0.004926,0.010035
135,0.161278,-0.424802,-0.000113,0.005068,-0.004891,0.009959
136,0.132225,-0.424646,-0.000121,0.005105,-0.004859,0.009965
137,0.102978,-0.424667,-0.000067,0.005127,-0.004803,0.00993
138,0.088251,-0.409924,-0.000203,0.005039,-0.004941,0.00998
139,0.117566,-0.410128,0.000062,0.005127,-0.00482,0.009947
140,0.146812,-0.409997,-0.00007,0.005043,-0.00489,0.009933
141,0.161315,-0.410035,-0.000141,0.005029,-0.004867,0.009896
142,0.102953,-0.410092,-0.000049,0.00514,-0.004809,0.009949
143,0.1322,-0.4099,-0.000159,0.004988,-0.004862,0.00985
144,0.08819,-0.395355,-0.000111,0.005096,-0.004909,0.010005
145,0.146837,-0.39539,-0.000039,0.00507,-0.004812,0.009882
146,0.102933,-0.395373,-0.000094,0.005012,-0.004836,0.009848
147,0.13217,-0.395476,-0.000104,0.004912,-0.004786,0.009698
148,0.117617,-0.395379,-0.00009,0.005124,-0.004785,0.009909
149,0.161568,-0.395407,-0.000054,0.005031,-0.004791,0.009822
150,0.088233,-0.380711,0.000001,0.005112,-0.004964,0.010075
151,0.117544,-0.380756,-0.000151,0.005055,-0.004824,0.009878
152,0.146736,-0.380772,-0.00009,0.00508,-0.004806,0.009886
153,0.102901,-0.3807,-0.000059,0.005184,-0.004838,0.010022
154,0.132133,-0.380753,-0.000084,0.005146,-0.004817,0.009963
155,0.161366,-0.380728,-0.000016,0.005061,-0.0048,0.009861
156,0.117383,-0.366037,-0.000067,0.005103,-0.004899,0.010002
157,0.146695,-0.366071,-0.000128,0.005085,-0.00497,0.010055
158,0.102783,-0.366105,-0.000122,0.00499,-0.004843,0.009834
159,0.13214,-0.366161,-0.000078,0.005035,-0.004794,0.009829
160,0.088307,-0.366035,-0.000132,0.005071,-0.004942,0.010013
161,0.161377,-0.366058,-0.000072,0.005029,-0.004785,0.009814
162,0.190691,-0.409821,-0.000073,0.005078,-0.004914,0.009992
163,0.205317,-0.409968,-0.000135,0.005072,-0.004927,0.01
164,0.176141,-0.410051,-0.000054,0.005128,-0.004855,0.009984
165,0.176105,-0.395335,-0.000096,0.005058,-0.004855,0.009914
166,0.205325,-0.39531,-0.00002,0.005145,-0.004907,0.010052
167,0.219961,-0.395294,-0.000085,0.005012,-0.004847,0.009859
168,0.19081,-0.395337,-0.00006,0.005049,-0.004877,0.009926
169,0.176093,-0.380759,-0.000132,0.005045,-0.00482,0.009865
170,0.205386,-0.380691,-0.000087,0.005048,-0.004895,0.009943
171,0.190577,-0.380689,-0.000081,0.005123,-0.004844,0.009967
172,0.219951,-0.380722,-0.000093,0.005012,-0.004852,0.009864
173,0.234667,-0.380744,-0.000093,0.00501,-0.004854,0.009864
174,0.249213,-0.38077,-0.00004,0.005098,-0.004833,0.00993
175,0.176059,-0.366133,-0.000029,0.005129,-0.004864,0.009992
176,0.234528,-0.366126,-0.000129,0.005063,-0.005027,0.01009
177,0.19065,-0.366042,-0.000102,0.005058,-0.004813,0.009871
178,0.205303,-0.366022,-0.000119,0.005041,-0.004921,0.009961
179,0.219967,-0.36603,-0.000036,0.005044,-0.004823,0.009868
180,0.249232,-0.366174,-0.000063,0.005035,-0.004899,0.009933
181,0.263975,-0.366027,-0.000005,0.005118,-0.004817,0.009934
182,-0.277648,-0.351321,0.000028,0.00621,-0.005118,0.011328
183,-0.292347,-0.336933,-0.00031,0.00521,-0.005209,0.010419
184,-0.27745,-0.336694,-0.000231,0.00568,-0.005222,0.010902
185,-0.30698,-0.322066,-0.00008,0.006253,-0.005166,0.011419
186,-0.292401,-0.322111,-0.000417,0.005219,-0.005199,0.010418
187,-0.277799,-0.322212,-0.000032,0.005833,-0.005059,0.010892
188,-0.321757,-0.307509,-0.000239,0.005307,-0.005215,0.010522
189,-0.292438,-0.30756,-0.000355,0.005111,-0.005212,0.010323
190,-0.307073,-0.30755,-0.000066,0.00578,-0.005073,0.010853
191,-0.277913,-0.307492,-0.00018,0.005411,-0.005032,0.010443
192,-0.336482,-0.292821,-0.00012,0.005929,-0.005127,0.011055
193,-0.321709,-0.292871,-0.000392,0.00548,-0.005246,0.010726
194,-0.306965,-0.292756,-0.000062,0.006017,-0.005076,0.011092
195,-0.277587,-0.292719,-0.000309,0.005676,-0.005257,0.010933
196,-0.292422,-0.292921,-0.000197,0.005212,-0.005064,0.010277
197,-0.350876,-0.278149,-0.000316,0.005384,-0.005204,0.010588
198,-0.321713,-0.278267,-0.000343,0.005346,-0.005209,0.010555
199,-0.33625,-0.278197,-0.000043,0.005757,-0.005144,0.010901
200,-0.3071,-0.278201,-0.000325,0.005172,-0.005135,0.010307
