Group_ID,Bump_Center_X,Bump_Center_Y,Shift_X,Shift_Y,Shift_Norm
0,-0.029494,-0.076487,-0.001640,0.002717,0.003174
1,-0.044665,-0.061576,-0.001658,0.002637,0.003115
2,-0.029316,-0.061814,-0.002001,0.002960,0.003573
3,-0.044850,-0.046137,-0.001459,0.002540,0.002929
4,-0.029367,-0.046257,-0.001866,0.002531,0.003144
5,-0.059296,-0.045786,-0.002097,0.001939,0.002856
6,-0.074648,-0.031314,-0.001893,0.002679,0.003281
7,-0.044509,-0.031264,-0.001835,0.002649,0.003222
8,-0.059598,-0.031171,-0.001493,0.002670,0.003059
9,-0.029179,-0.031464,-0.002146,0.002879,0.003591
10,-0.074561,-0.015987,-0.001805,0.002268,0.002899
11,-0.059573,-0.016192,-0.001866,0.002687,0.003272
12,-0.044577,-0.016146,-0.001677,0.002605,0.003098
13,-0.029243,-0.016113,-0.001998,0.002480,0.003185
14,0.000845,-0.076726,-0.001802,0.002692,0.003239
15,-0.014672,-0.076758,-0.001442,0.002663,0.003028
16,0.015881,-0.076734,-0.001752,0.002790,0.003295
17,0.030783,-0.076863,-0.001681,0.002546,0.003051
18,-0.014370,-0.061520,-0.001720,0.002696,0.003198
19,0.000701,-0.061616,-0.001840,0.002684,0.003254
20,0.015615,-0.061749,-0.001406,0.002811,0.003143
21,0.030738,-0.061435,-0.001449,0.002634,0.003007
22,0.046369,-0.061722,-0.001963,0.002604,0.003261
23,-0.014371,-0.046485,-0.001907,0.002740,0.003338
24,0.000881,-0.046694,-0.001895,0.002771,0.003357
25,0.046148,-0.046385,-0.001627,0.002632,0.003094
26,0.061150,-0.046776,-0.001797,0.002799,0.003326
27,0.016037,-0.046384,-0.001635,0.002606,0.003077
28,0.031095,-0.046433,-0.001788,0.002333,0.002939
29,0.045948,-0.031714,-0.001455,0.002695,0.003063
30,-0.014653,-0.031486,-0.001455,0.002832,0.003184
31,0.000676,-0.030938,-0.001826,0.002266,0.002910
32,0.015641,-0.031518,-0.001512,0.002890,0.003262
33,0.030917,-0.031684,-0.001589,0.003098,0.003482
34,0.061327,-0.031516,-0.001808,0.002537,0.003116
35,0.076276,-0.031710,-0.001688,0.002887,0.003344
36,0.001049,-0.015993,-0.002045,0.002333,0.003102
37,0.031088,-0.016549,-0.001881,0.002799,0.003372
38,0.061126,-0.016271,-0.001847,0.002777,0.003335
39,0.076184,-0.016696,-0.001703,0.002941,0.003399
40,-0.014449,-0.016436,-0.001628,0.002951,0.003371
41,0.015906,-0.016431,-0.001772,0.002772,0.003290
42,0.046162,-0.016500,-0.001512,0.002722,0.003114
43,-0.059677,-0.000825,-0.001723,0.002498,0.003034
44,-0.074676,-0.001063,-0.001954,0.002697,0.003331
45,-0.044392,-0.001053,-0.002118,0.002715,0.003444
46,-0.029302,-0.001270,-0.001754,0.002788,0.003294
47,-0.074638,0.013969,-0.001928,0.002513,0.003168
48,-0.029381,0.014168,-0.002127,0.002595,0.003355
49,-0.059478,0.014209,-0.001851,0.002552,0.003152
50,-0.044216,0.014041,-0.001767,0.002493,0.003056
51,-0.059421,0.029349,-0.002062,0.002399,0.003164
52,-0.044615,0.029106,-0.001661,0.002493,0.002996
53,-0.074906,0.029444,-0.001409,0.002518,0.002886
54,-0.028977,0.029075,-0.002003,0.002657,0.003327
