Pillar_Number,Layer_Number,Group_ID,X_Coord,Y_Coord,Z_Coord
0,0,0,-0.1918,0.0275,0.0009
0,1,16,-0.1916,0.0277,0.0462
0,2,540,-0.1928,0.0265,0.0906
0,3,557,-0.1938,0.0259,0.1352
0,4,576,-0.1919,0.0274,0.1796
0,5,1339,-0.1925,0.0283,0.2248
0,6,1358,-0.1930,0.0288,0.2708
0,7,1378,-0.1937,0.0279,0.3156
0,8,2166,-0.1932,0.0282,0.3604
0,9,2185,-0.1928,0.0270,0.4042
0,10,2203,-0.1923,0.0277,0.4496
0,11,2977,-0.1924,0.0274,0.4944
1,0,1,-0.1680,0.0275,0.0008
1,1,17,-0.1681,0.0278,0.0461
1,2,541,-0.1691,0.0266,0.0907
1,3,558,-0.1709,0.0262,0.1352
1,4,575,-0.1678,0.0270,0.1795
1,5,1340,-0.1682,0.0280,0.2248
1,6,1359,-0.1691,0.0287,0.2708
1,7,1379,-0.1707,0.0283,0.3157
1,8,2167,-0.1694,0.0280,0.3604
1,9,2195,-0.1682,0.0269,0.4043
1,10,2212,-0.1686,0.0280,0.4497
1,11,2974,-0.1680,0.0280,0.4943
2,0,2,-0.2399,0.0550,0.0010
2,1,18,-0.2400,0.0555,0.0463
2,10,2205,-0.2407,0.0559,0.4498
3,0,3,-0.2158,0.0548,0.0009
3,1,19,-0.2158,0.0551,0.0462
3,2,543,-0.2184,0.0550,0.0910
3,3,562,-0.2179,0.0548,0.1353
3,4,577,-0.2159,0.0550,0.1796
3,5,1341,-0.2162,0.0560,0.2248
3,6,1360,-0.2171,0.0564,0.2708
3,7,1381,-0.2189,0.0568,0.3157
3,8,2168,-0.2171,0.0560,0.3605
3,9,2186,-0.2171,0.0562,0.4044
3,10,2206,-0.2165,0.0557,0.4497
3,11,2979,-0.2161,0.0551,0.4944
4,0,4,-0.1919,0.0550,0.0010
4,1,20,-0.1918,0.0553,0.0461
4,2,552,-0.1929,0.0538,0.0908
4,3,561,-0.1946,0.0546,0.1352
4,4,578,-0.1916,0.0548,0.1796
4,5,1342,-0.1924,0.0562,0.2248
4,6,1361,-0.1927,0.0566,0.2707
4,7,1382,-0.1945,0.0576,0.3156
4,8,2169,-0.1928,0.0566,0.3604
4,9,2188,-0.1927,0.0572,0.4043
4,10,2204,-0.1925,0.0557,0.4496
4,11,2980,-0.1923,0.0552,0.4944
5,0,5,-0.1679,0.0550,0.0010
5,1,21,-0.1678,0.0551,0.0460
5,2,542,-0.1691,0.0535,0.0907
5,3,560,-0.1705,0.0534,0.1352
5,4,579,-0.1679,0.0551,0.1794
5,5,1343,-0.1684,0.0560,0.2246
5,6,1362,-0.1691,0.0564,0.2706
5,7,1380,-0.1701,0.0567,0.3156
5,8,2170,-0.1693,0.0569,0.3605
5,9,2187,-0.1697,0.0561,0.4044
5,10,2214,-0.1685,0.0558,0.4497
5,11,2981,-0.1681,0.0552,0.4943
6,0,6,-0.2638,0.0826,0.0008
6,1,24,-0.2637,0.0826,0.0462
6,4,583,-0.2641,0.0823,0.1796
6,5,1344,-0.2639,0.0836,0.2249
6,6,1363,-0.2651,0.0839,0.2708
6,10,2209,-0.2646,0.0833,0.4497
6,11,2975,-0.2646,0.0825,0.4944
7,0,7,-0.2397,0.0826,0.0007
7,1,25,-0.2398,0.0829,0.0461
7,2,544,-0.2419,0.0832,0.0908
7,3,567,-0.2429,0.0809,0.1352
7,4,580,-0.2398,0.0825,0.1795
7,5,1345,-0.2404,0.0834,0.2247
7,6,1364,-0.2412,0.0841,0.2707
7,7,1384,-0.2429,0.0833,0.3157
7,8,2171,-0.2415,0.0844,0.3605
7,9,2189,-0.2420,0.0840,0.4043
7,10,2208,-0.2404,0.0833,0.4497
7,11,2983,-0.2406,0.0831,0.4944
8,0,8,-0.2160,0.0824,0.0008
8,1,26,-0.2155,0.0825,0.0460
8,2,545,-0.2175,0.0817,0.0908
