Group_ID,Intersection_Name,Intersection_Height,Bump_Center_X,Bump_Center_Y,Bump_Center_Z,Radius
0,middle,-0.000100,-0.058322,-0.453942,-0.000100,0.003883
1,middle,-0.000100,-0.028615,-0.454672,-0.000100,0.003861
2,middle,-0.000100,-0.043375,-0.454361,-0.000100,0.003753
3,middle,-0.000100,-0.014271,-0.454478,-0.000100,0.003824
4,middle,-0.000100,0.029864,-0.454321,-0.000100,0.003830
5,middle,-0.000100,0.015043,-0.454255,-0.000100,0.003774
6,middle,-0.000100,0.059000,-0.454223,-0.000100,0.003881
7,middle,-0.000100,0.000599,-0.454366,-0.000100,0.003859
8,middle,-0.000100,0.073763,-0.454155,-0.000100,0.003844
9,middle,-0.000100,0.044418,-0.454144,-0.000100,0.003805
10,middle,-0.000100,-0.189859,-0.410325,-0.000100,0.003793
11,middle,-0.000100,-0.219178,-0.395567,-0.000100,0.003820
12,middle,-0.000100,-0.204463,-0.395383,-0.000100,0.003929
13,middle,-0.000100,-0.248339,-0.381165,-0.000100,0.003681
14,middle,-0.000100,-0.233873,-0.381147,-0.000100,0.003739
15,middle,-0.000100,-0.219100,-0.381130,-0.000100,0.003667
16,middle,-0.000100,-0.204364,-0.381332,-0.000100,0.003751
17,middle,-0.000100,-0.190100,-0.380884,-0.000100,0.003848
18,middle,-0.000100,-0.263067,-0.366068,-0.000100,0.003838
19,middle,-0.000100,-0.233906,-0.366555,-0.000100,0.003761
20,middle,-0.000100,-0.248473,-0.366243,-0.000100,0.003821
21,middle,-0.000100,-0.219602,-0.366403,-0.000100,0.003626
22,middle,-0.000100,-0.204913,-0.366378,-0.000100,0.003810
23,middle,-0.000100,-0.189884,-0.395672,-0.000100,0.003832
24,middle,-0.000100,-0.189781,-0.366449,-0.000100,0.003815
25,middle,-0.000100,-0.116760,-0.439492,-0.000100,0.003747
26,middle,-0.000100,-0.146139,-0.410511,-0.000100,0.003712
27,middle,-0.000100,-0.175200,-0.410352,-0.000100,0.003831
28,middle,-0.000100,-0.160589,-0.410557,-0.000100,0.003579
29,middle,-0.000100,-0.175032,-0.395889,-0.000100,0.003805
30,middle,-0.000100,-0.145865,-0.395679,-0.000100,0.003854
31,middle,-0.000100,-0.160706,-0.395511,-0.000100,0.003902
32,middle,-0.000100,-0.175173,-0.380915,-0.000100,0.003958
33,middle,-0.000100,-0.146123,-0.380913,-0.000100,0.003822
34,middle,-0.000100,-0.160581,-0.380936,-0.000100,0.003798
35,middle,-0.000100,-0.116526,-0.381458,-0.000100,0.003729
36,middle,-0.000100,-0.101856,-0.439475,-0.000100,0.003785
37,middle,-0.000100,-0.146042,-0.425069,-0.000100,0.003844
38,middle,-0.000100,-0.160382,-0.425080,-0.000100,0.003751
39,middle,-0.000100,-0.131444,-0.424899,-0.000100,0.003788
40,middle,-0.000100,-0.116430,-0.424910,-0.000100,0.003874
41,middle,-0.000100,-0.102000,-0.425140,-0.000100,0.003748
42,middle,-0.000100,-0.131325,-0.410065,-0.000100,0.003752
43,middle,-0.000100,-0.116088,-0.410539,-0.000100,0.003753
44,middle,-0.000100,-0.102170,-0.410465,-0.000100,0.003774
45,middle,-0.000100,-0.116706,-0.395686,-0.000100,0.003798
46,middle,-0.000100,-0.131553,-0.395668,-0.000100,0.003764
47,middle,-0.000100,-0.102080,-0.395587,-0.000100,0.003908
48,middle,-0.000100,-0.102015,-0.381059,-0.000100,0.003693
49,middle,-0.000100,-0.131440,-0.380949,-0.000100,0.003807
50,middle,-0.000100,-0.116767,-0.366261,-0.000100,0.003845
51,middle,-0.000100,-0.175419,-0.366359,-0.000100,0.003814
52,middle,-0.000100,-0.160411,-0.366436,-0.000100,0.003722
53,middle,-0.000100,-0.145736,-0.366615,-0.000100,0.003713
54,middle,-0.000100,-0.131172,-0.366447,-0.000100,0.003730
55,middle,-0.000100,-0.101937,-0.366107,-0.000100,0.003857
56,middle,-0.000100,-0.087182,-0.381390,-0.000100,0.003755
57,middle,-0.000100,-0.087194,-0.439743,-0.000100,0.003818
58,middle,-0.000100,-0.058053,-0.439621,-0.000100,0.003929
59,middle,-0.000100,-0.043436,-0.439524,-0.000100,0.003765
60,middle,-0.000100,-0.029014,-0.439434,-0.000100,0.003942
61,middle,-0.000100,-0.072700,-0.439413,-0.000100,0.003834
62,middle,-0.000100,-0.014270,-0.439761,-0.000100,0.003889
63,middle,-0.000100,-0.058219,-0.425036,-0.000100,0.003789
64,middle,-0.000100,-0.028908,-0.424978,-0.000100,0.003855
65,middle,-0.000100,-0.087593,-0.424506,-0.000100,0.003830
66,middle,-0.000100,-0.072799,-0.425160,-0.000100,0.003805
67,middle,-0.000100,-0.043244,-0.425038,-0.000100,0.003727
68,middle,-0.000100,-0.014497,-0.424872,-0.000100,0.003826
69,middle,-0.000100,-0.058136,-0.410193,-0.000100,0.003782
70,middle,-0.000100,-0.087107,-0.410587,-0.000100,0.003718
71,middle,-0.000100,-0.072877,-0.410013,-0.000100,0.003861
72,middle,-0.000100,-0.028708,-0.410261,-0.000100,0.003838
73,middle,-0.000100,-0.043616,-0.410364,-0.000100,0.003836
74,middle,-0.000100,-0.013910,-0.410500,-0.000100,0.003764
75,middle,-0.000100,-0.057919,-0.396093,-0.000100,0.003745
76,middle,-0.000100,-0.028708,-0.395697,-0.000100,0.003808
77,middle,-0.000100,-0.087092,-0.396020,-0.000100,0.003792
78,middle,-0.000100,-0.072768,-0.395643,-0.000100,0.003787
79,middle,-0.000100,-0.043503,-0.395504,-0.000100,0.003839
80,middle,-0.000100,-0.014264,-0.395939,-0.000100,0.003811
81,middle,-0.000100,-0.058139,-0.381155,-0.000100,0.003710
82,middle,-0.000100,-0.072568,-0.381176,-0.000100,0.003844
83,middle,-0.000100,-0.043548,-0.380954,-0.000100,0.003804
84,middle,-0.000100,-0.028751,-0.380870,-0.000100,0.003925
85,middle,-0.000100,-0.014519,-0.381028,-0.000100,0.003789
86,middle,-0.000100,-0.087342,-0.366358,-0.000100,0.003853
87,middle,-0.000100,-0.057884,-0.366555,-0.000100,0.003787
88,middle,-0.000100,-0.028825,-0.366390,-0.000100,0.003854
89,middle,-0.000100,-0.043675,-0.366408,-0.000100,0.003852
90,middle,-0.000100,-0.072407,-0.366761,-0.000100,0.003763
91,middle,-0.000100,-0.014287,-0.366399,-0.000100,0.003717
92,middle,-0.000100,0.000640,-0.439679,-0.000100,0.003841
93,middle,-0.000100,0.059068,-0.439603,-0.000100,0.003864
94,middle,-0.000100,0.030044,-0.439943,-0.000100,0.003884
95,middle,-0.000100,0.044414,-0.439635,-0.000100,0.003846
96,middle,-0.000100,0.073853,-0.439838,-0.000100,0.003719
97,middle,-0.000100,0.015038,-0.439604,-0.000100,0.003863
98,middle,-0.000100,0.029782,-0.425211,-0.000100,0.003809
99,middle,-0.000100,0.000692,-0.425024,-0.000100,0.003879
100,middle,-0.000100,0.015153,-0.424948,-0.000100,0.003935
101,middle,-0.000100,0.059086,-0.425207,-0.000100,0.003757
102,middle,-0.000100,0.044502,-0.424965,-0.000100,0.003854
103,middle,-0.000100,0.073816,-0.425021,-0.000100,0.003776
104,middle,-0.000100,0.000389,-0.410412,-0.000100,0.003899
105,middle,-0.000100,0.044474,-0.410444,-0.000100,0.003775
106,middle,-0.000100,0.015381,-0.410482,-0.000100,0.003844
107,middle,-0.000100,0.030085,-0.410307,-0.000100,0.003860
108,middle,-0.000100,0.059123,-0.410346,-0.000100,0.003923
109,middle,-0.000100,0.073771,-0.410448,-0.000100,0.003858
110,middle,-0.000100,0.000488,-0.395865,-0.000100,0.003818
111,middle,-0.000100,0.014851,-0.395676,-0.000100,0.003877
112,middle,-0.000100,0.030162,-0.395850,-0.000100,0.003917
113,middle,-0.000100,0.044283,-0.395666,-0.000100,0.003809
114,middle,-0.000100,0.059513,-0.395830,-0.000100,0.003810
115,middle,-0.000100,0.073622,-0.395691,-0.000100,0.003832
116,middle,-0.000100,0.029756,-0.381120,-0.000100,0.003878
117,middle,-0.000100,0.000659,-0.381148,-0.000100,0.003903
118,middle,-0.000100,0.015146,-0.381238,-0.000100,0.003855
119,middle,-0.000100,0.044331,-0.381066,-0.000100,0.003905
120,middle,-0.000100,0.059372,-0.381503,-0.000100,0.003692
121,middle,-0.000100,0.073685,-0.380814,-0.000100,0.003929
122,middle,-0.000100,0.015085,-0.366446,-0.000100,0.003759
123,middle,-0.000100,0.000717,-0.366731,-0.000100,0.003855
124,middle,-0.000100,0.059131,-0.366606,-0.000100,0.003830
125,middle,-0.000100,0.030004,-0.366482,-0.000100,0.003958
126,middle,-0.000100,0.044356,-0.366534,-0.000100,0.003797
127,middle,-0.000100,0.073916,-0.366497,-0.000100,0.003870
128,middle,-0.000100,0.088628,-0.439904,-0.000100,0.003799
129,middle,-0.000100,0.103000,-0.439376,-0.000100,0.003834
130,middle,-0.000100,0.117831,-0.439703,-0.000100,0.003899
131,middle,-0.000100,0.132415,-0.439719,-0.000100,0.003841
132,middle,-0.000100,0.088645,-0.425134,-0.000100,0.003795
133,middle,-0.000100,0.117776,-0.425081,-0.000100,0.003748
134,middle,-0.000100,0.146979,-0.425052,-0.000100,0.003828
135,middle,-0.000100,0.161565,-0.425194,-0.000100,0.003757
136,middle,-0.000100,0.132469,-0.424976,-0.000100,0.003836
137,middle,-0.000100,0.103184,-0.424994,-0.000100,0.003818
138,middle,-0.000100,0.088271,-0.410235,-0.000100,0.003953
139,middle,-0.000100,0.117858,-0.410709,-0.000100,0.003850
140,middle,-0.000100,0.147063,-0.410398,-0.000100,0.003852
141,middle,-0.000100,0.161737,-0.410494,-0.000100,0.003830
142,middle,-0.000100,0.103147,-0.410455,-0.000100,0.003873
143,middle,-0.000100,0.132212,-0.410282,-0.000100,0.003793
144,middle,-0.000100,0.088429,-0.395836,-0.000100,0.003836
145,middle,-0.000100,0.147171,-0.395774,-0.000100,0.003934
146,middle,-0.000100,0.103137,-0.395680,-0.000100,0.003842
147,middle,-0.000100,0.132282,-0.395915,-0.000100,0.003928
148,middle,-0.000100,0.117749,-0.395838,-0.000100,0.003823
149,middle,-0.000100,0.161690,-0.395843,-0.000100,0.003915
150,middle,-0.000100,0.088681,-0.381282,-0.000100,0.003825
151,middle,-0.000100,0.117732,-0.381133,-0.000100,0.003832
152,middle,-0.000100,0.146760,-0.381124,-0.000100,0.003919
153,middle,-0.000100,0.102910,-0.381020,-0.000100,0.003822
154,middle,-0.000100,0.132436,-0.381237,-0.000100,0.003825
155,middle,-0.000100,0.161443,-0.381011,-0.000100,0.003974
156,middle,-0.000100,0.117643,-0.366447,-0.000100,0.003858
157,middle,-0.000100,0.146995,-0.366664,-0.000100,0.003743
158,middle,-0.000100,0.103124,-0.366577,-0.000100,0.003765
159,middle,-0.000100,0.132378,-0.366632,-0.000100,0.003772
160,middle,-0.000100,0.088683,-0.366564,-0.000100,0.003808
161,middle,-0.000100,0.161399,-0.366532,-0.000100,0.003904
162,middle,-0.000100,0.191011,-0.410126,-0.000100,0.003832
163,middle,-0.000100,0.205489,-0.410322,-0.000100,0.003860
164,middle,-0.000100,0.176350,-0.410490,-0.000100,0.003917
165,middle,-0.000100,0.176341,-0.395653,-0.000100,0.003879
166,middle,-0.000100,0.205520,-0.395789,-0.000100,0.003885
167,middle,-0.000100,0.220077,-0.395554,-0.000100,0.003911
168,middle,-0.000100,0.190892,-0.395597,-0.000100,0.003928
169,middle,-0.000100,0.176469,-0.381228,-0.000100,0.003843
170,middle,-0.000100,0.205757,-0.381156,-0.000100,0.003795
171,middle,-0.000100,0.190823,-0.381103,-0.000100,0.003779
172,middle,-0.000100,0.220267,-0.381238,-0.000100,0.003769
173,middle,-0.000100,0.234959,-0.381045,-0.000100,0.003863
174,middle,-0.000100,0.249372,-0.381109,-0.000100,0.003856
175,middle,-0.000100,0.176513,-0.366672,-0.000100,0.003866
176,middle,-0.000100,0.234859,-0.366664,-0.000100,0.003746
177,middle,-0.000100,0.190772,-0.366399,-0.000100,0.003895
178,middle,-0.000100,0.205460,-0.366433,-0.000100,0.003823
179,middle,-0.000100,0.220267,-0.366342,-0.000100,0.003856
180,middle,-0.000100,0.249669,-0.366773,-0.000100,0.003870
181,middle,-0.000100,0.264445,-0.366501,-0.000100,0.003778
182,middle,-0.000100,-0.277673,-0.351429,-0.000100,0.003643
183,middle,-0.000100,-0.292295,-0.337293,-0.000100,0.003652
184,middle,-0.000100,-0.277788,-0.336873,-0.000100,0.003765
185,middle,-0.000100,-0.307144,-0.322442,-0.000100,0.003650
186,middle,-0.000100,-0.292482,-0.322264,-0.000100,0.003746
187,middle,-0.000100,-0.277803,-0.322414,-0.000100,0.003801
188,middle,-0.000100,-0.321656,-0.307699,-0.000100,0.003747
189,middle,-0.000100,-0.292449,-0.307707,-0.000100,0.003848
